scope_type;scope_value;feature;target;correlation;abs_correlation;n_observations;feature_label;feature_category;scope_type_label;scope;rank_abs_corr;rank_corr_desc;correlation_direction
canton;TI;pressure_station;consumption_mwh;-0,0013513218969341597;0,0013513218969341597;96421;Station Pressure;Atmospheric;Canton;Canton | TI;26,0;12,0;Negative
canton;TI;pressure_qnh;consumption_mwh;-0,001345649961045545;0,001345649961045545;96421;Pressure QNH;Atmospheric;Canton;Canton | TI;27,0;11,0;Negative
canton;VS;consumption_lag_168h;consumption_mwh;0,6779636361017656;0,6779636361017656;96421;Consumption Lag (168h);Lag / Historical;Canton;Canton | VS;1,0;1,0;Positive
canton;VS;consumption_lag_24h;consumption_mwh;0,6677686384546325;0,6677686384546325;96421;Consumption Lag (24h);Lag / Historical;Canton;Canton | VS;2,0;2,0;Positive
canton;VS;year;consumption_mwh;0,3122097777623091;0,3122097777623091;96421;Year;Time Features;Canton;Canton | VS;3,0;3,0;Positive
canton;VS;global_radiation;consumption_mwh;0,20337155742894567;0,20337155742894567;96421;Global Radiation;Solar / Light;Canton;Canton | VS;4,0;4,0;Positive
canton;VS;is_business_hour;consumption_mwh;0,199877099146869;0,199877099146869;96421;Business Hour;Time Features;Canton;Canton | VS;5,0;5,0;Positive
canton;VS;cdd;consumption_mwh;0,1821750579913271;0,1821750579913271;96421;Cooling Degree Days;Temperature / Thermal;Canton;Canton | VS;6,0;6,0;Positive
canton;VS;sunshine_duration;consumption_mwh;0,1820075787512795;0,1820075787512795;96421;Sunshine Duration;Solar / Light;Canton;Canton | VS;7,0;7,0;Positive
canton;VS;wind_direction;consumption_mwh;0,12578724697439728;0,12578724697439728;96421;Wind Direction;Atmospheric;Canton;Canton | VS;8,0;8,0;Positive
canton;VS;is_weekend;consumption_mwh;0,10480346098842024;0,10480346098842024;96421;Weekend;Time Features;Canton;Canton | VS;9,0;9,0;Positive
canton;VS;day_of_week;consumption_mwh;0,08997221269084993;0,08997221269084993;96421;Day of Week;Time Features;Canton;Canton | VS;10,0;10,0;Positive
canton;VS;wind_speed;consumption_mwh;0,08942846876949767;0,08942846876949767;96421;Wind Speed;Atmospheric;Canton;Canton | VS;11,0;11,0;Positive
canton;VS;is_extreme_cold;consumption_mwh;0,0773663887979752;0,0773663887979752;96421;Extreme Cold;Extreme Weather Flags;Canton;Canton | VS;12,0;12,0;Positive
